,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,khatanga,71.9667,102.5,-46.17,77,28,0.98,RU,1612038669
128,walvis bay,-22.9575,14.5053,66.99,82,0,5.75,NA,1612038669
129,kaitangata,-46.2817,169.8464,57.99,81,67,3.0,NZ,1612038669
130,daudnagar,25.0333,84.4,46.08,56,0,4.5,IN,1612038669
131,san andres,12.5847,-81.7006,84.2,65,40,18.41,CO,1612038670
132,hualmay,-11.0964,-77.6139,76.23,63,57,12.77,PE,1612038670
133,lebu,-37.6167,-73.65,61.45,69,6,12.64,CL,1612038670
134,buchanan,5.8808,-10.0467,80.6,83,75,6.85,LR,1612038670
135,khalkhal,37.6189,48.5258,20.93,91,29,8.52,IR,1612038381
136,rognan,67.0953,15.3878,19.0,70,4,5.01,NO,1612038670
137,souillac,-20.5167,57.5167,78.8,89,75,8.05,MU,1612038670
138,klaksvik,62.2266,-6.589,33.8,86,75,18.41,FO,1612038671
139,sokoni,-6.4333,39.55,81.09,80,79,16.2,TZ,1612038671
140,cherskiy,68.75,161.3,-37.21,83,6,2.21,RU,1612038671
141,davila,18.4726,120.5763,71.22,72,40,17.81,PH,1612038671
142,santa maria,-29.6842,-53.8069,86.0,70,40,10.36,BR,1612038672
143,abu samrah,35.3029,37.1841,49.59,71,99,11.36,SY,1612038672
144,sao joao da barra,-21.6403,-41.0511,86.0,48,0,18.41,BR,1612038672
145,belmonte,-15.8631,-38.8828,82.4,78,75,2.3,BR,1612038672
146,vardo,70.3705,31.1107,24.96,96,100,21.32,NO,1612038672
147,dicabisagan,17.0818,122.4157,70.09,81,100,9.86,PH,1612038672
148,seabra,-12.4186,-41.7703,89.6,37,0,4.61,BR,1612038673
149,burnie,-41.0667,145.9167,55.0,68,89,15.99,AU,1612038673
150,khargone,21.8167,75.6,60.55,29,0,5.86,IN,1612038673
151,adrar,20.5022,-10.0711,70.75,20,19,8.81,MR,1612038673
152,ixtapa,20.7,-105.2,77.0,61,1,11.5,MX,1612038673
153,palmer,42.1584,-72.3287,25.0,36,1,12.66,US,1612038673
154,hwange,-18.3693,26.5019,71.04,86,90,1.99,ZW,1612038661
155,caloundra,-26.8,153.1333,73.99,94,53,1.01,AU,1612038674
156,hami,42.8,93.45,20.86,83,0,1.66,CN,1612038674
157,kholm,59.2667,32.85,24.13,97,98,7.83,RU,1612038674
158,hofn,64.2539,-15.2082,20.73,87,98,21.47,IS,1612038674
159,port macquarie,-31.4333,152.9167,71.01,99,50,8.66,AU,1612038375
160,aitape,-3.1374,142.3475,78.64,80,100,4.79,PG,1612038675
161,tasiilaq,65.6145,-37.6368,19.4,38,75,18.41,GL,1612038447
162,marechal floriano,-20.4128,-40.6831,82.4,69,0,20.71,BR,1612038675
163,karacakoy,41.4029,28.3834,46.0,100,0,9.22,TR,1612038675
164,mosquera,4.7059,-74.2302,66.2,34,20,11.5,CO,1612038439
165,suntar,62.1444,117.6319,-37.53,82,100,2.19,RU,1612038675
166,saldanha,-33.0117,17.9442,64.78,91,0,7.29,ZA,1612038675
167,alghero,40.5589,8.3181,55.4,82,20,9.22,IT,1612038676
168,adana,36.985,35.2881,48.2,93,90,10.36,TR,1612038676
169,borba,-4.3878,-59.5939,83.61,78,86,3.15,BR,1612038676
